Application: Tecan i-control,,,,"Tecan i-control , 1.10.4.0",,,,,,,,
Device: infinite 200Pro,,,,Serial number: 1303007863,,,,Serial number of connected stacker:,,,,
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47),,,,"MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47)",,,,,,,,
,,,,,,,,,,,,
Date:,8/6/2016,,,,,,,,,,,
Time:,11:50:02 AM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
System,,,,SOP-0669,,,,,,,,
User,,,,SOP-0669\konglab,,,,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrol  [GRE96ft.pdfx],,,,,,,,
Plate-ID (Stacker),,,,,,,,,,,,
,,,,,,,,,,,,
Shaking (Orbital) Duration:,,,,20,s,,,,,,,
Shaking (Orbital) Amplitude:,,,,1,mm,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Label: MTS,,,,,,,,,,,,
Mode,,,,Absorbance,,,,,,,,
Wavelength,,,,490,nm,,,,,,,
Bandwidth,,,,9,nm,,,,,,,
Number of Flashes,,,,25,,,,,,,,
Settle Time,,,,0,ms,,,,,,,
Start Time:,8/6/2016 11:50:22 AM,,,,,,,,,,,
,,,,,,,,,,,,
,Temperature: 21.5 °C,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.423999995,0.417199999,0.412900001,0.4111,0.4111,0.406399995,0.406500012,0.405499995,0.403600007,0.397199988,0.396600008,0.399899989
B,0.416500002,0.480599999,0.81190002,2.429899931,2.847700119,2.60710001,2.571899891,2.497200012,2.438499928,2.463099957,2.563699961,0.404900014
C,0.425700009,0.54430002,0.483599991,0.457199991,0.545799971,2.437599897,2.365400076,2.277800083,2.435899973,2.513900042,2.561700106,0.407299995
D,0.431600004,0.495400012,0.742600024,2.282700062,2.469300032,2.423000097,2.350199938,2.394999981,2.404700041,2.414299965,2.543499947,0.408199996
E,0.437000006,0.572600007,0.490799993,0.461600006,0.531499982,2.306600094,2.350199938,2.25970006,2.507200003,2.33100009,2.441999912,0.407400012
F,0.444799989,0.510599971,0.746800005,2.218699932,2.515799999,2.478399992,2.379800081,2.409399986,2.430399895,2.397000074,2.511100054,0.403800011
G,0.43689999,0.584200025,0.499900013,0.467400014,0.634299994,2.487200022,2.506099939,2.334300041,2.46600008,2.455899954,2.525399923,0.406399995
H,0.441000015,0.430200011,0.429800004,0.423500001,0.4199,0.414700001,0.429800004,0.407099992,0.408699989,0.412299991,0.408100009,0.403499991
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
End Time:,8/6/2016 11:51:39 AM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Movement,,,,Move Plate Out,,,,,,,,
