RA vs C ,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA,,RA vs C,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA
A2ML1,A2ML1,A2ML1,A2ML1,A2ML1,,0.301998977,0.098788374,0.046130504,0.427071568,0.112575764
AAAS,AAAS,AAAS,AAAS,AAAS,,-0.045987064,0.112322607,0.032428994,-0.172075116,-0.144846902
AACS,AACS,AACS,AACS,AACS,,0.091811176,0.161992179,0.079236618,0.42388035,0.094247619
AAED1,AAED1,AAED1,AAED1,AAED1,,-0.572728105,-0.235512857,0.069954614,-0.681919638,-0.498381945
AAGAB,AAGAB,AAGAB,AAGAB,AAGAB,,0.068244405,0.110352704,0.090296557,0.094744172,0.048654564
AAK1,AAK1,AAK1,AAK1,AAK1,,0.825266394,0.021555498,0.08255065,0.882710747,0.897844293
AAMDC,AAMDC,AAMDC,AAMDC,AAMDC,,0.071630122,0.54506271,-0.008846954,0.31433796,0.241068913
AAMP,AAMP,AAMP,AAMP,AAMP,,-0.433124277,0.031977331,-0.050329489,-0.442211418,-0.333783344
AAR2,AAR2,AAR2,AAR2,AAR2,,-0.228352538,-0.019214902,-0.092389435,-0.126417734,-0.12372718
AARS,AARS,AARS,AARS,AARS,,-0.098351515,0.078488575,0.131405976,-0.334027549,-0.111609535
AARS2,AARS2,AARS2,AARS2,AARS2,,0.031244153,0.113519818,0.082662054,-0.186673785,-0.073002753
AASDH,AASDH,AASDH,AASDH,AASDH,,0.197107495,-0.143191675,0.168504503,0.009244072,-0.083477468
AASDHPPT,AASDHPPT,AASDHPPT,AASDHPPT,AASDHPPT,,-0.23294602,-0.194721059,-0.01774291,-0.402308391,-0.269208855
AATBC,AATBC,AATBC,AATBC,AATBC,,-0.094904118,0.218470498,0.108972935,-0.425680958,0.224399572
AATF,AATF,AATF,AATF,AATF,,-0.271885878,0.023772854,-0.017130911,-0.183362779,-0.141231414
ABALON,ABALON,ABALON,ABALON,ABALON,,0.205539897,-0.439605636,-0.452946919,0.625735387,0.942845078
ABAT,ABAT,ABAT,ABAT,ABAT,,1.645452065,0.497396276,0.850377208,1.766775431,0.915273
ABCA1,ABCA1,ABCA1,ABCA1,ABCA1,,6.206239793,-0.572993051,-0.1675447,5.307765306,6.127956483
ABCA11P,ABCA11P,ABCA11P,ABCA11P,ABCA11P,,-0.298787135,-0.022634839,0.025491511,-0.577204671,-0.432057482
ABCA12,ABCA12,ABCA12,ABCA12,ABCA12,,-0.395189919,0.28682929,-0.293075582,-0.17156587,-1.423477136
ABCA17P,ABCA17P,ABCA17P,ABCA17P,ABCA17P,,0.449531855,0.257081947,0.394334188,0.373197802,-0.274385638
ABCA2,ABCA2,ABCA2,ABCA2,ABCA2,,-0.093269026,0.142561846,0.264552625,-0.428249384,-0.246152282
ABCA3,ABCA3,ABCA3,ABCA3,ABCA3,,0.920837574,-0.005952459,-0.472399282,0.422795329,0.703379144
ABCA7,ABCA7,ABCA7,ABCA7,ABCA7,,1.092056314,0.335650999,0.080544705,1.618459049,1.203287039
ABCB1,ABCB1,ABCB1,ABCB1,ABCB1,,-0.839974762,-0.572993051,-0.652971527,0.603367574,-0.701011112
ABCB10,ABCB10,ABCB10,ABCB10,ABCB10,,-0.634961127,-0.129963114,0.08168025,-0.809595146,-0.786816228
ABCB6,ABCB6,ABCB6,ABCB6,ABCB6,,0.022242095,0.145966755,0.276555265,0.313665218,-0.326615597
ABCB7,ABCB7,ABCB7,ABCB7,ABCB7,,0.060985421,0.002626575,0.119344578,-0.005042475,0.074460723
ABCB8,ABCB8,ABCB8,ABCB8,ABCB8,,-0.200888475,-0.102280647,-0.080715678,-0.006668308,-0.071741189
ABCB9,ABCB9,ABCB9,ABCB9,ABCB9,,-0.326119526,-0.329226979,-0.073762554,-0.234575668,-0.554061246
ABCC1,ABCC1,ABCC1,ABCC1,ABCC1,,-0.101448695,-0.07184858,0.102391203,-0.288280605,-0.052950037
ABCC10,ABCC10,ABCC10,ABCC10,ABCC10,,0.571658931,0.080898116,0.172246905,0.56782709,0.488574497
ABCC2,ABCC2,ABCC2,ABCC2,ABCC2,,0.119383254,1.084336427,0.469885221,-0.33186217,-0.12754425
ABCC4,ABCC4,ABCC4,ABCC4,ABCC4,,-0.379538019,-0.144670906,0.183724387,-0.836992705,-0.601090154
ABCC5,ABCC5,ABCC5,ABCC5,ABCC5,,-0.010066906,0.111138621,0.122751786,-0.280608629,-0.197964192
ABCC6,ABCC6,ABCC6,ABCC6,ABCC6,,0.147952406,-0.798059607,-0.030041176,0.612705439,0.434503859
ABCD1,ABCD1,ABCD1,ABCD1,ABCD1,,1.028780705,0.155584757,-0.061750036,1.931527623,1.194500422
ABCD2,ABCD2,ABCD2,ABCD2,ABCD2,,0.429723374,0.111742584,-0.682117873,0.854906341,0.64363706
ABCD3,ABCD3,ABCD3,ABCD3,ABCD3,,-0.21473563,-0.129780688,0.027658769,-0.5539152,-0.317461589
ABCD4,ABCD4,ABCD4,ABCD4,ABCD4,,0.029101589,0.239647354,0.075128752,-0.093306422,-0.075662815
ABCE1,ABCE1,ABCE1,ABCE1,ABCE1,,-0.165673523,-0.137242677,0.013000673,-0.459282871,-0.335713977
ABCF1,ABCF1,ABCF1,ABCF1,ABCF1,,-0.225053982,0.104663484,0.010479147,-0.292833843,-0.186397151
ABCF2,ABCF2,ABCF2,ABCF2,ABCF2,,-0.314873094,-0.011177201,0.019448176,-0.513477531,-0.366570853
ABCF3,ABCF3,ABCF3,ABCF3,ABCF3,,-0.350525081,0.026166852,-0.043701726,-0.343398442,-0.230022104
ABHD1,ABHD1,ABHD1,ABHD1,ABHD1,,-0.009899763,0.315975636,-0.1675447,-0.36748608,-0.034434845
ABHD10,ABHD10,ABHD10,ABHD10,ABHD10,,0.103143347,-0.071478586,0.018111586,0.009313823,0.055775924
ABHD11,ABHD11,ABHD11,ABHD11,ABHD11,,0.187240341,0.362463728,0.129373673,0.403712556,-0.010242746
ABHD12,ABHD12,ABHD12,ABHD12,ABHD12,,0.018006233,0.016213565,-0.062554596,0.271684912,0.127702212
ABHD12B,ABHD12B,ABHD12B,ABHD12B,ABHD12B,,0.060489564,-1.179488714,-0.801416801,-0.492112734,-0.500098418
ABHD13,ABHD13,ABHD13,ABHD13,ABHD13,,0.169932196,-0.156713456,0.073893477,0.124233865,-0.045951297
ABHD14A,ABHD14A,ABHD14A,ABHD14A,ABHD14A,,-0.890600835,-0.623619125,-0.7035976,0.439868842,0.035954483
ABHD14B,ABHD14B,ABHD14B,ABHD14B,ABHD14B,,-0.871338933,-0.067757743,-0.10891697,-0.719244641,-0.526836637
ABHD15,ABHD15,ABHD15,ABHD15,ABHD15,,0.138254028,0.130728548,-0.040632588,0.317472211,0.181592938
ABHD16A,ABHD16A,ABHD16A,ABHD16A,ABHD16A,,0.111531011,0.097781697,0.13802682,0.336428714,0.076325666
ABHD16B,ABHD16B,ABHD16B,ABHD16B,ABHD16B,,0.291269771,-0.264870756,-0.258692588,1.117940747,0.858167363
ABHD17A,ABHD17A,ABHD17A,ABHD17A,ABHD17A,,-0.094068329,0.049658814,-0.177873423,0.315851647,0.166812662
ABHD17B,ABHD17B,ABHD17B,ABHD17B,ABHD17B,,-0.152731442,-0.165555207,-0.051266887,-0.106390724,-0.147046202
ABHD17C,ABHD17C,ABHD17C,ABHD17C,ABHD17C,,-0.168396619,0.242975001,0.20363851,0.195943259,0.303434793
ABHD2,ABHD2,ABHD2,ABHD2,ABHD2,,1.595808933,0.059978752,0.287609195,1.58362298,1.350141498
ABHD3,ABHD3,ABHD3,ABHD3,ABHD3,,-0.089410803,-0.019099924,0.069555984,0.041340333,-0.109432483
ABHD5,ABHD5,ABHD5,ABHD5,ABHD5,,0.057820378,0.056414448,0.10169867,0.005226785,-0.155426736
ABHD6,ABHD6,ABHD6,ABHD6,ABHD6,,-0.629757055,-0.306818938,-0.096578179,-0.262881037,-0.084339751
ABHD8,ABHD8,ABHD8,ABHD8,ABHD8,,-0.502105123,0.234361871,-0.246979168,-1.005117649,-0.370037877
ABI1,ABI1,ABI1,ABI1,ABI1,,0.214059953,-0.079072946,0.006247082,0.29778592,0.141368397
ABI2,ABI2,ABI2,ABI2,ABI2,,-0.05282507,-0.031912364,0.152440371,-0.269112289,-0.115184722
ABI3,ABI3,ABI3,ABI3,ABI3,,0.410251868,-0.14165374,-0.284584121,0.781974819,0.725411151
