Reading,Row,Column,Value,Treatment
1,A,1,0.268099993,None
1,B,1,0.492599994,MTS
1,C,1,0.475699991,MTS
1,D,1,0.48969999,MTS
1,E,1,0.496199995,MTS
1,F,1,0.502099991,MTS
1,G,1,0.5,MTS
1,H,1,0.231600001,None
2,A,1,0.274699986,None
2,B,1,0.500199974,MTS
2,C,1,0.488599986,MTS
2,D,1,0.497500002,MTS
2,E,1,0.501299977,MTS
2,F,1,0.511500001,MTS
2,G,1,0.508000016,MTS
2,H,1,0.235599995,None
1,A,2,0.515699983,MTS
1,B,2,0.639500022,0
1,C,2,0.567700028,0
1,D,2,0.642700016,0
1,E,2,0.600700021,0
1,F,2,0.547299981,0
1,G,2,0.613300025,0
1,H,2,0.503499985,MTS
2,A,2,0.523199975,MTS
2,B,2,0.652100027,0
2,C,2,0.579100013,0
2,D,2,0.654200017,0
2,E,2,0.611100018,0
2,F,2,0.556999981,0
2,G,2,0.620199978,0
2,H,2,0.510999978,MTS
1,A,3,0.506299973,MTS
1,B,3,0.667599976,1
1,C,3,0.573300004,1
1,D,3,0.58069998,1
1,E,3,0.567700028,1
1,F,3,0.63349998,1
1,G,3,0.698800027,1
1,H,3,0.529200017,MTS
2,A,3,0.513300002,MTS
2,B,3,0.677200019,1
2,C,3,0.582000017,1
2,D,3,0.58829999,1
2,E,3,0.578700006,1
2,F,3,0.642499983,1
2,G,3,0.708700001,1
2,H,3,0.538600028,MTS
1,A,4,0.868499994,MTS
1,B,4,0.65079999,2
1,C,4,0.847100019,2
1,D,4,0.643100023,2
1,E,4,0.647700012,2
1,F,4,0.641600013,2
1,G,4,0.593699992,2
1,H,4,0.507600009,MTS
2,A,4,0.951699972,MTS
2,B,4,0.658999979,2
2,C,4,0.858699977,2
2,D,4,0.651799977,2
2,E,4,0.655499995,2
2,F,4,0.650200009,2
2,G,4,0.601800025,2
2,H,4,0.517099977,MTS
1,A,5,0.454600006,MTS
1,B,5,1.004400015,3
1,C,5,0.965300024,3
1,D,5,0.968500018,3
1,E,5,0.968800008,3
1,F,5,0.998700023,3
1,G,5,0.975700021,3
1,H,5,0.497399986,MTS
2,A,5,0.472900003,MTS
2,B,5,1.010900021,3
2,C,5,0.970399976,3
2,D,5,0.977400005,3
2,E,5,0.974399984,3
2,F,5,1.003299952,3
2,G,5,0.980300009,3
2,H,5,0.503199995,MTS
1,A,6,0.938600004,MTS
1,B,6,1.216799974,4
1,C,6,1.247699976,4
1,D,6,1.340800047,4
1,E,6,1.430600047,4
1,F,6,1.386899948,4
1,G,6,1.32159996,4
1,H,6,0.494500011,MTS
2,A,6,0.969500005,MTS
2,B,6,1.215999961,4
2,C,6,1.248700023,4
2,D,6,1.336199999,4
2,E,6,1.430099964,4
2,F,6,1.39349997,4
2,G,6,1.321200013,4
2,H,6,0.503499985,MTS
1,A,7,0.847000003,MTS
1,B,7,1.302000046,5
1,C,7,1.530799985,5
1,D,7,1.261999965,5
1,E,7,1.403399944,5
1,F,7,1.449100018,5
1,G,7,1.532600045,5
1,H,7,0.523400009,MTS
2,A,7,0.902199984,MTS
2,B,7,1.301900029,5
2,C,7,1.524799943,5
2,D,7,1.260100007,5
2,E,7,1.39260006,5
2,F,7,1.445500016,5
2,G,7,1.527199984,5
2,H,7,0.533399999,MTS
1,A,8,1.010699987,MTS
1,B,8,1.506999969,6
1,C,8,1.59679997,6
1,D,8,1.472499967,6
1,E,8,1.524500012,6
1,F,8,1.680400014,6
1,G,8,1.573199987,6
1,H,8,0.518899977,MTS
2,A,8,0.739000022,MTS
2,B,8,1.500499964,6
2,C,8,1.589900017,6
2,D,8,1.469400048,6
2,E,8,1.522600055,6
2,F,8,1.675899982,6
2,G,8,1.568799973,6
2,H,8,0.528199971,MTS
1,A,9,1.077100039,MTS
1,B,9,1.467700005,7
1,C,9,1.527899981,7
1,D,9,1.50059998,7
1,E,9,1.563799977,7
1,F,9,1.429700017,7
1,G,9,1.555600047,7
1,H,9,0.516600013,MTS
2,A,9,0.939300001,MTS
2,B,9,1.45480001,7
2,C,9,1.521199942,7
2,D,9,1.496999979,7
2,E,9,1.560700059,7
2,F,9,1.423300028,7
2,G,9,1.546300054,7
2,H,9,0.524100006,MTS
1,A,10,0.205300003,None
1,B,10,1.511999965,8
1,C,10,1.478199959,8
1,D,10,1.511399984,8
1,E,10,1.496999979,8
1,F,10,1.335399985,8
1,G,10,1.452100039,8
1,H,10,0.230800003,None
2,A,10,0.209900007,None
2,B,10,1.497699976,8
2,C,10,1.466899991,8
2,D,10,1.503399968,8
2,E,10,1.487400055,8
2,F,10,1.328199983,8
2,G,10,1.440299988,8
2,H,10,0.236200005,None
1,A,11,0.435000002,None
1,B,11,1.38499999,DMSO
1,C,11,1.561499953,DMSO
1,D,11,1.361500025,DMSO
1,E,11,1.468000054,DMSO
1,F,11,1.355900049,DMSO
1,G,11,1.361299992,DMSO
1,H,11,0.263799995,None
2,A,11,0.455000013,None
2,B,11,1.375200033,DMSO
2,C,11,1.580800056,DMSO
2,D,11,1.351300001,DMSO
2,E,11,1.458099961,DMSO
2,F,11,1.347200036,DMSO
2,G,11,1.353899956,DMSO
2,H,11,0.268900007,None
1,A,12,0.160899997,None
1,B,12,0.449900001,MTS
1,C,12,0.426999986,MTS
1,D,12,0.426699996,MTS
1,E,12,0.448300004,MTS
1,F,12,0.389600009,MTS
1,G,12,0.420399994,MTS
1,H,12,0.185900003,None
2,A,12,0.164000005,None
2,B,12,0.42750001,MTS
2,C,12,0.43689999,MTS
2,D,12,0.434300005,MTS
2,E,12,0.457899988,MTS
2,F,12,0.396699995,MTS
2,G,12,0.49939999,MTS
2,H,12,0.190599993,None
