Plate,Hour,Row,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
1,24,A,None,None,None,None,None,None,None,None,None,None,None,None
1,24,B,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
1,24,C,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
1,24,D,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
1,24,E,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
1,24,F,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
1,24,G,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
1,24,H,None,None,None,None,None,None,None,None,None,None,None,None
1,24,A,None,None,None,None,None,None,None,None,None,None,None,None
1,24,B,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
1,24,C,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
1,24,D,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
1,24,E,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
1,24,F,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
1,24,G,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
1,24,H,None,None,None,None,None,None,None,None,None,None,None,None
2,48,A,None,None,None,None,None,None,None,None,None,None,None,None
2,48,B,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
2,48,C,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
2,48,D,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
2,48,E,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
2,48,F,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
2,48,G,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
2,48,H,None,None,None,None,None,None,None,None,None,None,None,None
2,48,A,None,None,None,None,None,None,None,None,None,None,None,None
2,48,B,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
2,48,C,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
2,48,D,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
2,48,E,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
2,48,F,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
2,48,G,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
2,48,H,None,None,None,None,None,None,None,None,None,None,None,None
3,72,A,None,None,None,None,None,None,None,None,None,None,None,None
3,72,B,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
3,72,C,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
3,72,D,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
3,72,E,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
3,72,F,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
3,72,G,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
3,72,H,None,None,None,None,None,None,None,None,None,None,None,None
3,72,A,None,None,None,None,None,None,None,None,None,None,None,None
3,72,B,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
3,72,C,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
3,72,D,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
3,72,E,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
3,72,F,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
3,72,G,MTS,0,1,2,3,4,5,6,7,8,DMSO,MTS
3,72,H,None,None,None,None,None,None,None,None,None,None,None,None
