Application: Tecan i-control,,,,"Tecan i-control , 1.10.4.0",,,,,,,,
Device: infinite 200Pro,,,,Serial number: 1303007863,,,,Serial number of connected stacker:,,,,
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47),,,,"MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47)",,,,,,,,
,,,,,,,,,,,,
Date:,5/2/2016,,,,,,,,,,,
Time:,10:39:16 PM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
System,,,,SOP-0669,,,,,,,,
User,,,,SOP-0669\konglab,,,,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrol  [GRE96ft.pdfx],,,,,,,,
Plate-ID (Stacker),,,,,,,,,,,,
,,,,,,,,,,,,
Shaking (Orbital) Duration:,,,,20,s,,,,,,,
Shaking (Orbital) Amplitude:,,,,1,mm,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Label: MTS,,,,,,,,,,,,
Mode,,,,Absorbance,,,,,,,,
Wavelength,,,,490,nm,,,,,,,
Bandwidth,,,,9,nm,,,,,,,
Number of Flashes,,,,25,,,,,,,,
Settle Time,,,,0,ms,,,,,,,
Start Time:,5/2/2016 10:39:36 PM,,,,,,,,,,,
,,,,,,,,,,,,
,Temperature: 21.2 °C,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.297899991,0.284500003,0.285299987,0.287,0.282200009,0.286300004,0.289099991,0.307700008,0.257299989,0.260899991,0.274899989,0.287
B,0.298999995,0.538600028,0.51880002,0.4745,0.402700007,0.779600024,1.691499949,1.654500008,1.591400027,1.655500054,1.735200047,0.287499994
C,0.280499995,0.467900008,0.600000024,0.736299992,1.083799958,1.31219995,1.39349997,1.515100002,1.542500019,1.35800004,1.421700001,0.300999999
D,0.265399992,1.177899957,1.472800016,1.648499966,1.579100013,1.643300056,1.435600042,1.281000018,1.452999949,1.226999998,1.329200029,0.270500004
E,0.300000012,0.558099985,0.580799997,0.49090001,0.476099998,0.941799998,1.575600028,1.345000029,1.273599982,1.176800013,1.150500059,0.273999989
F,0.296400011,0.499799997,0.566200018,0.6778,0.978799999,1.112699986,1.283900023,1.229699969,1.124799967,0.984399974,1.147899985,0.275099993
G,0.349999994,1.203299999,1.478399992,1.366099954,1.562299967,1.251299977,1.236299992,1.219900012,1.247599959,0.980300009,1.194599986,0.26699999
H,0.3204,0.313499987,0.302899987,0.300599992,0.308600008,0.270999998,0.289799988,0.287299991,0.2773,0.270799994,0.281599998,0.283399999
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
End Time:,5/2/2016 10:40:53 PM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Movement,,,,Move Plate Out,,,,,,,,
