Application: Tecan i-control,,,,"Tecan i-control , 1.10.4.0",,,,,,,,
Device: infinite 200Pro,,,,Serial number: 1303007863,,,,Serial number of connected stacker:,,,,
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47),,,,"MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47)",,,,,,,,
,,,,,,,,,,,,
Date:,6/6/2016,,,,,,,,,,,
Time:,11:12:15 PM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
System,,,,SOP-0669,,,,,,,,
User,,,,SOP-0669\konglab,,,,,,,,
Plate,,,,Costar 96 Flat Bottom Transparent Polystyrol Catalog No.: 3361/3590/9018/3591/9017/3641/3628/3370/2507/2509/2503/9017/9018/3641/3598/3599/3585/3595/3300/3474 [COS96ft.pdfx],,,,,,,,
Plate-ID (Stacker),,,,,,,,,,,,
,,,,,,,,,,,,
Shaking (Orbital) Duration:,,,,20,s,,,,,,,
Shaking (Orbital) Amplitude:,,,,1,mm,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Label: MTS,,,,,,,,,,,,
Mode,,,,Absorbance,,,,,,,,
Wavelength,,,,490,nm,,,,,,,
Bandwidth,,,,9,nm,,,,,,,
Number of Flashes,,,,25,,,,,,,,
Settle Time,,,,0,ms,,,,,,,
Start Time:,6/6/2016 11:12:35 PM,,,,,,,,,,,
,,,,,,,,,,,,
,Temperature: 21.7 °C,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.3653,0.359200001,0.356900007,0.360399991,0.359299988,0.351300001,0.360500008,0.358700007,0.354299992,0.356700003,0.354999989,0.346300006
B,0.38409999,2.161999941,2.188800097,2.177999973,2.148400068,2.118900061,2.154200077,2.107500076,2.002199888,3.352400064,2.472500086,0.348800004
C,0.36590001,1.471600056,1.694900036,2.010499954,2.027699947,2.069700003,2.145400047,2.170300007,1.913499951,3.349600077,2.395800114,0.353700012
D,0.361999989,2.043200016,2.228199959,2.236999989,2.223799944,2.246200085,2.050199986,2.203500032,2.081799984,3.177900076,2.33100009,0.350899994
E,0.391299993,1.346699953,1.726199985,1.900500059,2.031399965,1.993899941,1.966099977,2.157700062,2.060899973,2.966500044,2.336299896,0.350199997
F,0.363700002,2.070899963,2.079600096,2.092600107,2.050499916,2.075500011,2.037199974,2.058300018,2.055700064,3.357700109,2.24090004,0.351999998
G,0.365200013,1.162999988,1.529000044,1.769799948,1.874899983,1.870599985,1.916300058,1.92869997,2.014100075,3.133599997,2.159199953,0.351399988
H,0.369300008,0.615999997,0.498600006,0.498199999,0.552999973,0.351300001,0.989300013,0.295599997,0.282599986,0.282299995,0.575900018,0.382200003
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
End Time:,6/6/2016 11:13:52 PM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Movement,,,,Move Plate Out,,,,,,,,
