"","Treatment","Parameter","Estimate","Std..Error","lb","ub"
"1","X24_Echinatin","bot",58.4644991470466,460.939571465385,-867.359877247571,984.288875541665
"2","X24_Echinatin","top",97.2213535055485,0.869874493378476,95.4741591654892,98.9685478456079
"3","X24_Echinatin","lic50",4.89985893752195,2.80761472514931,-0.739401201944964,10.5391190769889
"4","X24_Echinatin","scale",-3.70905806576305,16.3076946289473,-36.4640267100918,29.0459105785657
"5","X24_Echinatin","Log10IC30",4.99906924341909,2.84129740476836,-0.707844549116632,10.7059830359548
"6","X24_Echinatin","Log10IC40",4.9473349424627,2.81536362053913,-0.70748931144815,10.6021591963736
"7","X24_Echinatin","IC30",99785.9148669745,NA,0.195954594568652,50813959365.2173
"8","X24_Echinatin","IC40",88579.8503961224,NA,0.196114944131965,40009138166.0319
"9","X72_Echinatin","bot",20.5077480924561,4.99539229986105,10.4583150208519,30.5571811640603
"10","X72_Echinatin","top",105.362487574191,1.99699383993957,101.345054160715,109.379920987666
"11","X72_Echinatin","lic50",4.44316179754759,0.0502636539372531,4.34204436855393,4.54427922654126
"12","X72_Echinatin","scale",-6.80551474019704,2.24379826786469,-11.3194546202971,-2.29157486009697
"13","X72_Echinatin","Log10IC30",4.49723218007444,0.0533314419511011,4.38994315764579,4.6045212025031
"14","X72_Echinatin","Log10IC40",4.46903658671168,0.0509824751262087,4.36647307601006,4.57160009741329
"15","X72_Echinatin","IC30",31421.8810385752,NA,24543.8765371039,40227.3294729862
"16","X72_Echinatin","IC40",29446.6969415332,NA,23252.6832691145,37290.6623605991
"17","X120_Echinatin","bot",6.46659411918018,3.65346708885365,-0.887453704770309,13.8206419431307
"18","X120_Echinatin","top",95.2497246378903,1.66320510503013,91.9018664018748,98.5975828739058
"19","X120_Echinatin","lic50",4.48467323463474,0.0374219468995619,4.40934676241762,4.55999970685187
"20","X120_Echinatin","scale",-7.53906087623202,2.06401431066637,-11.6937061982791,-3.38441555418496
"21","X120_Echinatin","Log10IC30",4.53348260112423,0.03973622383336,4.45349773105238,4.61346747119608
"22","X120_Echinatin","Log10IC40",4.50803042221374,0.0379643716150476,4.43161210567407,4.58444873875342
"23","X120_Echinatin","IC30",34157.2266209923,NA,28411.7334139074,41064.5881207208
"24","X120_Echinatin","IC40",32212.9443420449,NA,27015.4437568678,38410.3919418271
