Sample Name,Target Name,Ct Mean,Ct SD
d20-5d,nrf2,18.044,0.062
d10-5d,nrf2,18.072,0.021
g20-5d,nrf2,18.046,0.058
g10-5d,nrf2,18.023,0.014
tsa-5d,nrf2,19.085,0.000
5aza-5d,nrf2,19.233,0.066
dmso-5d,nrf2,18.118,0.027
h2o,nrf2,28.501,0.319
d20-5d,Nqo1,22.941,0.016
d10-5d,Nqo1,22.804,0.012
g20-5d,Nqo1,22.953,0.009
g10-5d,Nqo1,22.975,0.000
tsa-5d,Nqo1,23.078,0.080
5aza-5d,Nqo1,23.806,0.033
dmso-5d,Nqo1,22.907,0.079
h2o,Nqo1,32.386,0.013
d20-5d,ho-1,18.152,0.065
d10-5d,ho-1,18.187,0.049
g20-5d,ho-1,18.311,0.050
g10-5d,ho-1,18.219,0.037
tsa-5d,ho-1,19.273,0.021
5aza-5d,ho-1,20.516,0.080
dmso-5d,ho-1,18.193,0.006
h2o,ho-1,27.963,1.195
d20-5d,beta-actin,12.979,0.033
d10-5d,beta-actin,13.093,0.019
g20-5d,beta-actin,13.101,0.087
g10-5d,beta-actin,13.059,0.041
tsa-5d,beta-actin,14.192,0.105
5aza-5d,beta-actin,14.504,0.106
dmso-5d,beta-actin,13.158,0.027
h2o,beta-actin,24.024,0.854
