"n","mu","SD=10%","SD=20%","SD=30%","SD=40%","SD=50%","SD=60%"
"3","10",0.3372030034091,0.150923377172557,0.108116818885625,0.0903394853077521,0.080770936300228,0.0748305612652694
"3","20",0.789485152686922,0.3372030034091,0.203734162463038,0.150923377172557,0.124054288446185,0.108116818885625
"3","30",0.978790249940011,0.576232166666476,0.3372030034091,0.233828980094531,0.181409487101831,0.150923377172557
"3","40",0.999431290622206,0.789485152686922,0.495268469939453,0.3372030034091,0.253006784733752,0.203734162463038
"3","50",0.999996248052159,0.921759786360059,0.654090526961234,0.454649599683084,0.3372030034091,0.266237321397603
"3","60",0.999999994135379,0.978790249940011,0.789485152686922,0.576232166666476,0.430477042798821,0.3372030034091
"3","70",0.999999999997871,0.995876096103596,0.887412990827287,0.690916512778121,0.527819275527925,0.414499871816553
"3","80",1,0.999431290622206,0.94750540848145,0.789485152686922,0.623519768701107,0.495268469939453
"3","90",1,0.9999447953821,0.978790249940011,0.866677584401448,0.712153572749637,0.576232166666476
"4","10",0.40879721979387,0.174187261617932,0.120307877357801,0.0982997943579869,0.086597220324702,0.0793952074003304
"4","20",0.881709031778347,0.40879721979387,0.24132567948932,0.174187261617932,0.140256376014454,0.120307877357801
"4","30",0.995308667068827,0.683129043080008,0.40879721979387,0.279545082168832,0.212921436930562,0.174187261617932
"4","40",0.999969896829354,0.881709031778347,0.595131160417695,0.40879721979387,0.303806827684513,0.24132567948932
"4","50",0.99999997121906,0.970666481721523,0.76181992744995,0.548912133494125,0.40879721979387,0.320485243764926
"4","60",0.999999999996052,0.995308667068827,0.881709031778347,0.683129043080008,0.520816388451858,0.40879721979387
"4","70",1,0.999524938097729,0.951035521574884,0.796736292319397,0.631204565473129,0.502019515317833
"4","80",1,0.999969896829354,0.983264289790832,0.881709031778347,0.73167543915016,0.595131160417695
"4","90",1,0.999998815591325,0.995308667068827,0.937868880186123,0.816134261898544,0.683129043080008
"5","10",0.474598661245445,0.196473766429271,0.131824640797697,0.10572853135359,0.091985717845821,0.0835886839574505
"5","20",0.93542017004774,0.474598661245445,0.277340260144874,0.196473766429271,0.155673874439958,0.131824640797697
"5","30",0.999027691449197,0.766342489889585,0.474598661245445,0.323117260990958,0.243161083463835,0.196473766429271
"5","40",0.999998563536935,0.93542017004774,0.678436607628795,0.474598661245445,0.35199402581685,0.277340260144874
"5","50",0.999999999808546,0.989500249551468,0.83900524327526,0.62989297839347,0.474598661245445,0.371743965390611
"5","60",0.999999999999998,0.999027691449197,0.93542017004774,0.766342489889585,0.599677704546438,0.474598661245445
"5","70",1,0.99994969836197,0.979546446209662,0.869098397259061,0.715233950444869,0.579184761339175
"5","80",1,0.999998563536935,0.994937291752592,0.93542017004774,0.811913189870372,0.678436607628795
"5","90",1,0.999999977532616,0.999027691449197,0.972107325206073,0.885162461476408,0.766342489889585
